5, s, 15, 5.33011, 345.543, vp
0, s, 47, 5.33935, 146.972, None
11, s, 6, 5.35170, 463.392, IC
5, t, 1, 5.35350, 199.521, None
16, s, 1, 5.35504, 200.642, None
4, s, 20, 5.36924, 258.933, None
5, t, 2, 5.37060, 199.601, None
2, t, 22, 5.37232, 225.225, None
14, s, 2, 5.37458, 202.511, None
1, s, 30, 5.37996, 156.961, None
9, s, 9, 5.38925, 370.920, None
4, t, 14, 5.39354, 222.816, None
5, t, 3, 5.39619, 199.720, None
1, t, 29, 5.39751, 175.531, None
2, s, 25, 5.39822, 365.764, None
14, s, 3, 5.40752, 205.508, None
6, s, 14, 5.41008, 259.269, None
0, t, 44, 5.41838, 131.113, None
3, s, 25, 5.42556, 206.825, None
3, t, 18, 5.42708, 236.295, None
0, s, 48, 5.42970, 145.666, None
5, t, 4, 5.43022, 199.920, None
13, s, 4, 5.45512, 207.857, None
5, t, 5, 5.47260, 200.160, None
10, s, 7, 5.48922, 88.598,  IC/p
5, s, 16, 5.50696, 320.821, None
8, s, 10, 5.50875, 492.368, vp
1, s, 31, 5.51976, 156.617, None
0, s, 49, 5.52016, 144.425, None
5, t, 6, 5.52325, 200.521, None
12, s, 5, 5.52766, 220.313, None
0, t, 45, 5.52813, 131.062, None
1, t, 30, 5.52840, 172.921, None
2, t, 23, 5.53241, 223.164, None
4, s, 21, 5.53406, 259.000, None
14, s, 4, 5.54184, 742.942, IC
4, t, 15, 5.54483, 224.115, None
15, s, 2, 5.55732, 102.543, IC
11, s, 7, 5.56367, 280.662, IC
5, t, 7, 5.58208, 200.965,  p
2, s, 26, 5.58265, 194.250, None
6, s, 15, 5.60251, 272.257, vp
3, t, 19, 5.60811, 232.775, None
0, s, 50, 5.61073, 143.225, None
9, s, 10, 5.61093, 319.795, None
3, s, 26, 5.62049, 401.768,  p
0, t, 46, 5.63789, 131.044, None
12, s, 6, 5.64658, 267.165, vp
5, t, 8, 5.64900, 201.572, None
1, t, 31, 5.65796, 170.416, None
